Index,Home type,Age,Number of rooms,CO2 Emissions [tonnes/year] (mean),CO2 Emissions [tonnes/year] (median),Number of properties,Percentage of total
0,Detached,Pre 1900,1-2 rooms,3.08,2.8,10003,0.07
1,Detached,Pre 1900,3-4 rooms,4.85,4.6,28803,0.2
2,Detached,Pre 1900,5-6 rooms,7.03,6.8,32757,0.23
3,Detached,Pre 1900,7-9 rooms,8.57,8.6,28163,0.2
4,Detached,Pre 1900,10+ rooms,9.85,10.0,3600,0.03
5,Detached,1900-1950,1-2 rooms,2.74,2.5,20862,0.15
6,Detached,1900-1950,3-4 rooms,4.38,4.1,98403,0.7
7,Detached,1900-1950,5-6 rooms,6.35,6.1,150946,1.07
8,Detached,1900-1950,7-9 rooms,7.91,7.8,104929,0.74
9,Detached,1900-1950,10+ rooms,9.36,9.6,9539,0.07
10,Detached,1950-1975,1-2 rooms,2.13,2.0,55468,0.39
11,Detached,1950-1975,3-4 rooms,3.81,3.6,287246,2.04
12,Detached,1950-1975,5-6 rooms,5.42,5.1,317373,2.25
13,Detached,1950-1975,7-9 rooms,6.78,6.5,142919,1.01
14,Detached,1950-1975,10+ rooms,8.34,8.3,7677,0.05
15,Detached,1976-1990,1-2 rooms,1.93,1.8,30100,0.21
16,Detached,1976-1990,3-4 rooms,3.38,3.2,132037,0.94
17,Detached,1976-1990,5-6 rooms,4.56,4.3,222254,1.58
18,Detached,1976-1990,7-9 rooms,5.82,5.5,128478,0.91
19,Detached,1976-1990,10+ rooms,7.94,7.9,6218,0.04
20,Detached,Post 1900,1-2 rooms,1.35,1.2,11148,0.08
21,Detached,Post 1900,3-4 rooms,1.93,1.7,51116,0.36
22,Detached,Post 1900,5-6 rooms,3.29,3.1,71987,0.51
23,Detached,Post 1900,7-9 rooms,4.38,4.1,77711,0.55
24,Detached,Post 1900,10+ rooms,6.96,6.6,7046,0.05
25,Semi-Detached,Pre 1900,1-2 rooms,2.81,2.6,21102,0.15
26,Semi-Detached,Pre 1900,3-4 rooms,4.39,4.1,69795,0.49
